date,week,charge_mwh,discharge_mwh,gross_yuan,aux_cost_yuan,net_yuan,avg_charge_price,avg_discharge_price,opt_charge_4h_cont_price,opt_discharge_4h_cont_price,opt_charge_nc_price,opt_discharge_nc_price,chg_slots,dis_slots,m11_unit_power_rev_yuan_mw,m12_energy_rev_yuan_mwh,m13_net_energy_rev_yuan_mwh,m21_spread_utilization_pct,m22_discharge_capture_pct,m23_charge_capture_pct,m24_avg_spread_yuan_mwh,m25_rte_breakeven_yuan_mwh,m26_top_dis_capture_pct,m27_bot_chg_capture_pct
2026-04-02,2026-W14,1187.23,751.68,103237.0,23.0,103215.0,43.37,164.21,-50.7,300.62,-51.07,293.11,32,19,529.42,53.24,53.23,34.4,72.9,70.8,120.85,14.78,58.1,13.4
2026-04-03,2026-W14,0.0,683.9,290338.0,-2.0,290340.0,,424.53,-50.31,458.88,-50.55,492.11,0,18,1488.91,424.53,424.54,,83.3,,,38.21,64.7,
2026-04-04,2026-W14,964.74,272.57,-18667.0,7.0,-18673.0,-6.8,-49.4,-50.54,137.94,-50.94,218.53,25,8,-95.73,-15.09,-15.09,-22.6,64.6,72.9,-42.6,-4.45,0.0,43.5
2026-04-05,2026-W14,1187.41,1270.92,161184.0,617.0,160568.0,1.06,146.32,-50.03,273.88,-50.14,237.1,39,39,826.58,65.57,65.32,44.8,64.6,55.2,145.26,13.17,38.4,19.3
2026-04-06,2026-W15,1113.11,1356.72,364158.0,-134.0,364292.0,24.34,298.24,-50.03,390.0,-50.01,341.62,33,43,1867.48,147.44,147.5,62.2,77.1,46.9,273.9,26.84,46.8,13.2
2026-04-07,2026-W15,1172.57,499.14,21592.0,2190.0,19402.0,134.71,350.01,-21.56,640.5,-38.67,654.25,32,16,110.73,12.92,11.61,32.5,80.2,56.2,215.3,31.5,19.9,0.0
2026-04-08,2026-W15,349.82,578.51,71135.0,-125.0,71261.0,143.38,214.96,-51.91,186.96,-53.74,244.31,12,16,364.79,76.63,76.76,30.0,90.6,71.9,71.58,19.35,69.7,0.0
2026-04-09,2026-W15,1165.22,884.36,156.0,588.0,-431.0,164.43,211.22,-46.88,303.9,6.75,298.39,43,30,0.8,0.08,-0.21,13.3,51.0,39.6,46.78,19.01,29.4,15.9
2026-04-10,2026-W15,1192.5,1423.54,224100.0,1130.0,222969.0,184.49,312.98,-50.0,767.12,-48.18,455.56,43,40,1149.23,85.66,85.23,15.7,87.5,54.2,128.49,28.17,33.0,22.9
2026-04-11,2026-W15,1084.12,475.51,114317.0,1470.0,112848.0,121.13,425.18,-50.19,576.25,-50.35,544.0,32,18,586.24,73.3,72.36,48.5,89.6,61.5,304.05,38.27,37.1,8.8
2026-04-12,2026-W15,841.65,1123.51,104060.0,2160.0,101901.0,70.37,148.43,16.33,266.62,-20.05,232.56,35,44,533.64,52.95,51.85,31.2,64.6,46.9,78.06,13.36,25.0,7.3
2026-04-13,2026-W16,1072.35,755.11,63874.0,2147.0,61728.0,46.4,195.05,-4.61,290.62,49.87,286.33,36,30,327.56,34.95,33.78,50.4,40.6,19.8,148.65,17.55,7.4,53.4
2026-04-14,2026-W16,1217.56,1325.6,267226.0,1584.0,265642.0,111.13,345.97,-50.0,614.56,46.01,516.74,43,40,1370.39,105.08,104.45,35.3,66.7,28.1,234.84,31.14,21.0,34.9
2026-04-15,2026-W16,1105.88,554.2,31703.0,-482.0,32185.0,4.64,105.24,-51.74,188.13,-50.92,170.37,47,32,162.58,19.1,19.39,41.9,78.1,65.6,100.59,9.47,40.7,3.1
2026-04-16,2026-W16,881.47,778.93,262425.0,1551.0,260873.0,19.86,319.6,-50.0,421.75,-50.72,386.6,32,29,1345.77,158.05,157.11,63.5,82.3,43.8,299.74,28.76,44.6,3.5
2026-04-17,2026-W16,1067.15,1383.52,65351.0,81.0,65270.0,46.29,52.61,-50.0,178.99,-50.5,176.5,28,36,335.13,26.67,26.63,2.8,72.9,72.9,6.32,4.73,14.1,43.0
