date,week,charge_window,discharge_window,charge_mwh,discharge_mwh,soc_end_mwh,avg_charge_price,avg_discharge_price,gross_yuan,aux_cost_yuan,net_yuan,pf_net_yuan,realization_pct
2026-02-24,2026-W09,12:00–24:00,18:00–20:15,1200.0,328.85,800.0,-50.0,-5.23,58281.0,374.0,57907.0,74406.0,77.8
2026-02-25,2026-W09,04:30–21:30,01:15–24:00,1200.0,1433.25,442.3,13.75,93.63,117693.0,860.0,116833.0,271393.0,43.0
2026-02-26,2026-W09,11:00–17:00,00:00–23:15,838.63,1185.05,-0.0,175.72,181.28,67468.0,3087.0,64381.0,97133.0,66.3
2026-02-27,2026-W09,00:00–20:30,05:30–23:30,1200.0,1092.0,-0.0,167.75,284.7,109596.0,2965.0,106631.0,375163.0,28.4
2026-02-28,2026-W09,01:00–17:00,11:45–24:00,1200.0,1092.0,0.0,137.6,264.67,123896.0,2835.0,121061.0,440326.0,27.5
2026-03-01,2026-W09,00:00–22:00,07:30–23:30,1200.0,1092.0,-0.0,526.84,306.47,-297545.0,5358.0,-302903.0,21669.0,-1397.9
2026-03-02,2026-W10,05:30–24:00,07:00–22:30,1200.0,328.85,800.0,-28.95,5.97,36702.0,260.0,36442.0,265495.0,13.7
2026-03-03,2026-W10,10:00–15:00,04:45–24:00,838.63,1526.3,0.0,-50.0,243.92,414232.0,1906.0,412326.0,401710.0,102.6
2026-03-04,2026-W10,13:45–17:45,18:00–24:00,682.5,621.08,0.0,275.5,269.11,-20891.0,4269.0,-25160.0,164946.0,-15.3
2026-03-05,2026-W10,09:45–17:00,12:15–24:00,926.25,842.89,0.0,-50.0,268.63,272734.0,1457.0,271277.0,323021.0,84.0
2026-03-06,2026-W10,08:30–16:00,11:45–21:00,945.77,860.65,0.0,296.34,367.68,36172.0,4789.0,31383.0,207048.0,15.2
2026-03-07,2026-W10,00:30–21:00,02:00–24:00,1200.0,1020.12,75.3,-24.1,160.25,192392.0,821.0,191572.0,226298.0,84.7
2026-03-08,2026-W10,00:00–17:00,02:30–24:00,1061.55,1037.89,0.0,-6.12,268.41,285075.0,2365.0,282710.0,287107.0,98.5
2026-03-09,2026-W11,01:00–24:00,02:15–22:45,1199.16,328.09,800.0,-10.5,117.79,51238.0,1054.0,50184.0,101417.0,49.5
2026-03-10,2026-W11,01:15–17:00,00:00–24:00,936.13,1615.03,0.0,-33.28,283.65,489259.0,1954.0,487306.0,523096.0,93.2
2026-03-11,2026-W11,00:00–17:15,01:45–24:00,1179.88,1073.69,0.0,381.91,257.75,-173860.0,4419.0,-178279.0,249197.0,-71.5
2026-03-12,2026-W11,05:00–23:30,17:45–20:00,1200.0,328.85,800.0,-11.77,76.23,39188.0,-157.0,39345.0,125605.0,31.3
2026-03-13,2026-W11,01:15–17:00,00:00–15:45,844.46,768.46,800.0,150.95,67.79,-75375.0,2747.0,-78122.0,490585.0,-15.9
2026-03-14,2026-W11,11:15–16:15,00:00–21:15,838.63,1526.3,-0.0,269.4,420.24,415488.0,4872.0,410616.0,-142890.0,-287.4
